locality_id,name,zip_code,state
FGiXAV2kyy,Sauce Mayo,K4718XBN,Catamarca
uLjycObxtG,Sumampa,K4718XBO,Catamarca
5ze4uHHTOp,Agua Amarilla la Hoyada,K4139XBI,Catamarca
bt7DLbKE8I,Agua Amarilla Pta de Balasto,K4139XBJ,Catamarca
8gNvTfBj97,Ampajango,K4139XBK,Catamarca
fLow7sk1UH,Andalhuala,K4139XAZ,Catamarca
jjBkqlQIUs,Banda,K4139XBA,Catamarca
hQsekYXIja,Campitos,K4139XBB,Catamarca
nj48nCEare,Casa de Piedra,K4139XBD,Catamarca
UzIXFV_wdS,Caspinchango,K4139XBC,Catamarca
ZFLCFiJsLv,Cerrillos,K4139XBE,Catamarca
I08BClZJ05,Chafiñan,K4139XBF,Catamarca
99lOxtnRlO,Chañar Punco,K4139XAA,Catamarca
E7UE1USZsp,Corral Viejo,K4139XBH,Catamarca
sWbM4TUlxe,Desrumbe,K4139XAI,Catamarca
FL-KAKZzHI,El Arroyo,K4139XBG,Catamarca
x4WB-GjsAT,El Balde,K4139XBL,Catamarca
iF4dd8c54O,El Calchaqui,K4139XBN,Catamarca
MYOcCHFjXh,El Cerrito,K4139XBO,Catamarca
h3rk4ukMRK,El Medanito,K4139XBQ,Catamarca
BbCFxNdXyr,El Tesoro,K4139XCE,Catamarca
nV1t_uz9Wq,El Trapiche,K4139XBR,Catamarca
L9r0jAaFRS,El Zarzo,K4139XBS,Catamarca
CtHD5C4gH6,Entre Rios,K4139XBT,Catamarca
mb5btzG7Ca,Estancia Vieja,K4139XBU,Catamarca
6jltKQdrxL,Famabalastro,K4139XAT,Catamarca
hEuBrUvhCC,Famatanca,K4139XAC,Catamarca
J8DXaB--kR,Iapes,K4139XAU,Catamarca
0SPZ_aHCUe,Julipao,K4139XAV,Catamarca
FQdImVDdMp,La Ollada,K4139XAW,Catamarca
qhRdYodf4o,La Soledad,K4139XBV,Catamarca
J1uaHiiAqZ,Lampasito,K4139XCG,Catamarca
XYq4mWNw4k,Las Mojarras,K4139XAD,Catamarca
uQtd4dO5-W,Los Saltos,K4139XBX,Catamarca
bCq7ypUBr3,Medanito,K4139XBY,Catamarca
2sCBfN-QpP,Ovejeria,K4139XBZ,Catamarca
8t_LHZE6lt,Pajanguillo,K4139XCA,Catamarca
0j81oyGr-7,Capayan,K4728XAB,Catamarca
X9W10NCUdQ,Concepcion,K4728XBD,Catamarca
