Gral Anselmo Rojo,T4103XAA,Tucumán
Chañarito,T4168XEZ,Tucumán
Cajas Viejas,T4162XAF,Tucumán
Kilometro 5,T4166XAD,Tucumán
El Huaico,T4142XAB,Tucumán
Villa la Colmena,T4103XAX,Tucumán
Los Guayacanes,T4158XAT,Tucumán
Escuela 66,T4152XAQ,Tucumán
El Tropezon,Buscar CPA,tucuman
Quebrada de Lules,T4129XAH,Tucumán
Santa Victoria,A4550XAD,Salta
Ingenio Santa Rosa,T4143XAF,Tucumán
Sargento Moya,Buscar CPA,Tucumán
Bajo Hondo,G4356XAC,Santiago del Estero
El Espinillo,T4117XAK,Tucumán
Tucumán,T4159XAP,Los Diaz
Camas Amontonadas,T4115XBT,Tucumán
Totoritas,T4141XAQ,Tucumán
Punta Rieles,T4115XBG,Tucumán
Los Perez,T4174XBZ,Tucumán
Escuela 18,Buscar CPA,tucuman
Suriyacu,T4195XAF,Tucumán
Las Mojarritas,A4195XAB,Salta
Quemadito,G4195XAB,Santiago del Estero
Carolinas Bajas,Buscar CPA,tucuman
Escuela 292,T4187XBZ,Tucumán
Puma Pozo,T4111XBM,Tucumán
Aparadero Militar Gral Muñoz,T4142XAF,Tucumán
Granja Modelo,T4101XAB,Tucumán
Don Bartolo,G4184XAC,Santiago del Estero
Managua,T4141XAM,Tucumán
Asna Yaco,T4119XES,Tucumán
Andres Ferreyra,T4178XBM,Tucumán
Colonia Sarmiento,T4101XCA,Tucumán
La Empatada,T4111XAY,Tucumán
Leon Rouges,T4143XAA,Tucumán
Escuela 343,Buscar CPA,tucuman
Chasquivil,T4105XAE,Tucumán
Aguada de Jorge,T4124XDE,Tucumán
La Banderita,T4132XAB,Tucumán
Boca del Tigre,T4178XAT,Tucumán
Tucumán,T4105XAZ,La Sala
El Mojon,T4178XFE,Tucumán
Tucumán,T4137XDA,El Lamedero
Los Pizarro,T4162XAY,Tucumán
Los Porceles,T4111XAD,Tucumán
Escuela 299,T4101XAQ,Tucumán
Tucumán,T4128XBO,Ruta Provincial 380
Colonia el Tarco,T4178XAF,Tucumán
Los Agudos,T4152XBP,Tucumán
El Portezuelo,Buscar CPA,tucuman
Villa Vieja Santa Ana,T4155XAE,Tucumán
Monteagudo,Buscar CPA,Tucumán
Colonia 4 de Colombres,T4178XFR,Tucumán
Ensenada,T4174XAP,Tucumán
Los Galpones,T4157XAP,Tucumán
Puente el Manantial,Buscar CPA,tucuman
El Puestito,T4124XAH,Tucumán
Pozo Hondo,T4242XBN,Tucumán
Escuela 21,T4152XBC,Tucumán
Anegados,T4168XDH,Tucumán
Monte Quemado,G4195XAC,Santiago del Estero
Tusca Pozo,T4113XBB,Tucumán
Casa de Zinc,T4137XCR,Tucumán
Cejas de Aroca,T4172XCK,Tucumán
Escuela 282,T4162XAP,Tucumán
Tucumán,T4117XAZ,San Pedro
El Barco,T4119XBZ,Tucumán
Amimpa,T4176XBS,Tucumán
Tucumán,T4137XAO,Los Pocitos
Estacion Superior Agricola,T4101XCR,Tucumán
Monte Largo,T4117XBH,Tucumán
Tucumán,T4119XCD,Concepcion
Escuela Florencio Varela,T4146XBI,Tucumán
Lachico,T4242XAN,Tucumán
Kilometro 46,T4158XAQ,Tucumán
Riarte,T4126XAB,Tucumán
Colalao del Valle,Buscar CPA,Tucumán
San Jose,T4124XCT,Tucumán
Los Diaz,T4159XAP,Tucumán
Escuela 185,Buscar CPA,tucuman
Escuela 303,T4176XBB,Tucumán
Escuela 258,T4142XCS,Tucumán
Cevil Grande,T4155XAH,Tucumán
Escuela 352,T4158XAJ,Tucumán
Escuela,T4105XAS,Tucumán
California,T4119XBS,Tucumán
Escuela 203,T4172XBG,Tucumán
La Puerta,T4101XCC,Tucumán
Cienaguita,T4137XCJ,Tucumán
Kilometro 1220,T4166XAE,Tucumán
Castillas,T4172XAD,Tucumán
Pirhuas,T4115XBE,Tucumán
Escuela 316,T4176XAR,Tucumán
Colonia Tacapunco,T4105XBP,Tucumán
Escuela 265,T4124XDV,Tucumán
Tio Franco,T4141XAP,Tucumán
Puesto Nuevo,T4163XAD,Tucumán
Alto la Totora,Buscar CPA,tucuman
El Interes,T4119XCS,Tucumán
Escuela 65,T4146XBF,Tucumán
Agua Salada,T4124XCI,Tucumán
Tucumán,T4176XAB,Los Sauces
Candelillal,T4111XCB,Tucumán
Escuela 200,T4132XBT,Tucumán
Escuela Guillermina Moreira,T4132XCE,Tucumán
Isca Yacu Semaul,G4184XBO,Santiago del Estero
Superintendente Ledesma,G4184XBE,Santiago del Estero
Rio Vipos,T4122XAS,Tucumán
Escuela 255,T4101XBD,Tucumán
Chabela,T4117XAC,Tucumán
Escuela 59,T4101XAV,Tucumán
Escuela 133,T4172XAX,Tucumán
Benjamin Araoz,T4119XET,Tucumán
Tucumán,T4168XCH,Ruta Provincial 306
