id,name,zip,sate
0000861,El Suncal,T4124XAC,Tucumán
0000862,Tucumán,T4168XDG,Agua Dulce
0000863,Arcadia,Buscar CPA,Tucumán
0000864,Chalchacito,T4242XAH,Tucumán
0000865,El Castoral,T4168XDV,Tucumán
0000866,Aguas Blancas,T4119XBN,Tucumán
0000867,Romerello,T4163XAB,Tucumán
0000868,Las Celayas,T4115XBL,Tucumán
0000869,Ampimpa,T4137XBV,Tucumán
0000870,Los Gomez,T4113XAJ,Tucumán
0000871,Chigligasta,T4172XCL,Tucumán
0000872,Ruta Nacional 64,T4162XAT,Tucumán
0000873,Escuela 311,T4105XAU,Tucumán
0000874,Barrealito,T4115XAK,Tucumán
0000875,Tucumán,T4122XBI,San Miguel
0000876,Escuela 202,T4142XCQ,Tucumán
0000877,Las Encrucijadas,T4115XBN,Tucumán
0000878,Ponzacon,T4162XBO,Tucumán
0000879,Barranqueras,T4176XDR,Tucumán
0000880,Escuela 139,T4142XBF,Tucumán
0000881,Tucumán,T4122XBJ,San Vicente
0000882,Los Lescanos,T4174XAB,Tucumán
0000883,El Naranjito,Buscar CPA,tucuman
0000884,La Cienaga,T4101XBE,Tucumán
0000885,Los Alisos,T4158XBU,Tucumán
0000886,Los Quemados,T4113XAS,Tucumán
0000887,Junta,T4122XBU,Tucumán
0000888,Arbol Solo,T4178XAR,Tucumán
0000889,Kilometro 808,T4105XAL,Tucumán
0000890,Escuela 26,T4158XBA,Tucumán
0000891,Escuela 217,T4137XDI,Tucumán
0000892,Nuevos Mataderos,T4109XAA,Tucumán
0000893,Las Tipas,T4105XAC,Tucumán
0000894,Bilca Pozo,T4111XBR,Tucumán
0000895,La Loma,T4174XBR,Tucumán
0000896,Tucumán,T4168XES,Ruta Provincial 302
0000897,Talitas,T4242XBG,Tucumán
0000898,Arroyo Barriento,T4152XAT,Tucumán
0000899,Santa Ana,Buscar CPA,Tucumán
0000900,Tucumán,T4162XAU,Ruta Provincial 334
0000901,Escuela 28,T4137XDL,Tucumán
0000902,Las Talitas,T4101XAC,Tucumán
0000903,Nueva Esperanza,T4103XAQ,Tucumán
0000904,Agua el Simbo,T4124XDD,Tucumán
0000905,Punta del Monte,T4129XAD,Tucumán
0000906,El Naranjo,Buscar CPA,tucuman
0000907,Pozo Alto,T4111XAM,Tucumán
0000908,El Cedro,T4122XAO,Tucumán
0000909,Quinteros 2,T4144XAB,Tucumán
0000910,Escuela 144,T4142XCN,Tucumán
0000911,Rumi Punco,Buscar CPA,Tucumán
0000912,Colonia Pacara,T4132XBO,Tucumán
0000913,Monte Grande,Buscar CPA,tucuman
0000914,Escuela 246,T4187XBT,Tucumán
0000915,El Parana,G4184XAV,Santiago del Estero
0000916,Simbol,T4242XBV,Tucumán
0000917,Antu Mapu,T4119XER,Tucumán
0000918,Humaita 2,T4151XAP,Tucumán
0000919,Santa Rosa,T4152XAD,Tucumán
0000920,Escuela 239,T4146XAJ,Tucumán
0000921,El Arbolito,T4187XDP,Tucumán
0000922,Tucumán,T4105XAS,Escuela
0000923,Romera Pozo,T4115XAW,Tucumán
0000924,Cruz de Abajo,T4119XCG,Tucumán
0000925,Alem,A4126XAB,Salta
