Tafi Viejo,Calle Irigoyen
Santa Lucia,Pasaje Blas Parera
San Miguel de Tucuman,Pasaje Dr Carlos Cossio
San Miguel de Tucuman,Calle Fray Mamerto Esquiu
Alderetes,Calle Maipu
Alderetes,Pasaje Sanchez de Thompson
Lastenia,Calle Cordoba
San Miguel de Tucuman,Calle 68 37
Santa Lucia,Avenida Pres Gral J A Roca
Tafi Viejo,Calle Joaquin del Pino
Famailla,Calle 20
Lastenia,Avenida Santo Cristo
San Miguel de Tucuman,Calle Araoz de Lamadrid
Aguilares,Calle Carlos Pellegrini
Bella Vista,Calle S/N 3
Arcadia,Calle Alberdi
San Miguel de Tucuman,Pasaje Pje 20 Noroeste
Famailla,Calle Dr Mariano Moreno
Bella Vista,Calle Saavedra
San Miguel de Tucuman,Pasaje Tierra del Fuego
Aguilares,Calle Congreso
San Miguel de Tucuman,Calle Julio Lopez Mañan
El Cruce,Calle 3 E
San Miguel de Tucuman,Avenida Dr Juan Bautista Justo
San Miguel de Tucuman,Avenida Pres Gral J A Roca
Acheral,Avenida 25 de Mayo
San Miguel de Tucuman,Calle 37 So
San Miguel de Tucuman,Calle Diego de Rojas
Lules,Calle Guemes
Tafi Viejo,Calle Centenario
Aguilares,Calle Marques de Aguado Este
Tafi Viejo,Calle San Miguel
Santa Ana,Calle San Miguel de Tucuman
San Miguel de Tucuman,Pasaje Gral Bascary
Bella Vista,Calle Dr Juan Jose Paso
Monteagudo,Calle Ponce de Leon
Famailla,Calle 15
Alderetes,Pasaje Jose Lanieri
San Miguel de Tucuman,Calle Granaderos
Arcadia,Calle Blas Cabrera
San Miguel de Tucuman,Pasaje Maldonado
San Miguel de Tucuman,Avenida Adolfo de las Vegas
Alderetes,Calle 5
Amaicha del Valle,Pasaje 1
Bella Vista,Calle Estrecho de Magallanes
Alderetes,Avenida Eva Peron
Alderetes,Pasaje Jose Hernandez
Taco Ralo,Calle Catamarca
El Chañar,Avenida Pte D F Sarmiento
San Miguel de Tucuman,Pasaje 1 de Mayo
Santa Ana,Calle Corrientes
Villa la Trinidad,Calle Entre Rios
